organization_id, name, website
DdGRA,Diputación de Granada,http://www.dipgra.es/
DdLE,Diputación de León,http://www.dipuleon.es/
DdMA,Diputación de Málaga,http://www.malaga.es/
DdSEV,Diputación de Sevilla,http://www.dipusevilla.es/
DdTO,Diputación de Toledo,http://www.diputoledo.es/
DdV,Diputación de Valladolid,http://www.diputaciondevalladolid.es/
DdVAL,Diputación de Valencia,http://www.dival.es/
DfB,Diputación Foral de Bizkaia,http://www.bizkaia.net/
DfG,Diputación Foral de Gipuzkoa,http://www.gipuzkoa.net/index-c.html
DGA,Diputación General de Aragón,http://www.aragon.es/
DiBa,Diputación de Barcelona,http://www.diba.es/
DNI,Defensa de Niñas y Niños Internacional - Sección Bolivia,http://www.dnibolivia.org/
DpZ,Diputación de Zaragoza,http://www.dpz.es/
EC,Entreculturas,http://www.entreculturas.org/
EdP,Embajada de Polonia,
EdYFu,Educacion y Futuro,http://www.educacionyfuturo.org/
ENDA,ENDA – Bolivia,http://www.endabolivia.org/
EPM,Fundación Salud y Sociedad - Enfermeras para el Mundo ,http://www.ong.enfermundi.com/
ESF,Educación Sin Fronteras,http://www.educacionsinfronteras.org/
ESM,Escuela Salesiana Muyurina,
FAD,Fundación de Ayuda contra la Drogradicción,http://www.fad.es/
FCA,Fundación Comunidades en Acción,
FCCD,Fons Catalá de Cooperació,http://www.fonscatala.org/
FCMC,Fundación Castellano Manchega de Cooperación,http://www.fcmc.es/
FDF,Fundación para el Desarrollo Frutícola,http://vallegrande.org.bo/
FENATRAHOB,Federación Nacional de Trabajadoras Asalariadas del Hogar de Bolivia,
FIDE,Fundación Iberoamericana para el Desarrollo,http://www.fundacionfide.org/
Fobomade,Foro Boliviano Medio Ambiente y Desarrollo,http://www.fobomade.org.bo/
FPM,Fisioterapeutas para el Mundo Solidarios,http://www.fisioterapeutasparaelmundo.com/
FPSC,Fundación Promoción Social de la Cultura,http://www.fundacionfpsc.org/
FUNCV,Fundación Cuatro Vientos,
FyA,Movimiento de Educación Popular y Promoción Social Fe y Alegría,http://www.feyalegriabolivia.org/
GdA,Gobierno de Aragón,http://www.aragon.es/
GdAst,Gobierno de Asturias,http://www.asturias.es/
GdC,Generalitat de Catalunya,http://www.gencat.cat/index_cas.htm
GdN,Gobierno de Navarra,http://www.navarra.es/home_es/
GdV,Generalitat de Valencia,http://www.gva.es/
GPF,Grupo PrimaFlor,http://www.primaflor.com/es/inicio.html
Gregorias,Centro de Promoción Gregoria Apaza,http://www.gregorias.org.bo/
Hosp_HVV,Hospital Hernández Vera Villa 1º Mayo,
